advertiser_id,advertiser_name,Creative_Type,creative_id,creative_name,raw OCR,Creative_Message,Size,CTA,joy_score,sorrow_score,surprise_score,label_score,label_detection,Assets,Background_Color,Product,# of products,Material,Person,Audience,Theme
5993807,David Yurman,IMAGE,94200983,STAT_BAN-SilverMulti_EN_300x440_v1_LP073.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,300x440,SHOP NOW,NA,NA,NA,0.859615505,"Font ,Text","Bracelet, Ring, Sand",Gray,"Bracelet, Ring",2,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94201262,STAT_BAN-GoldRing_EN_300x60_v1_LP073.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,300x60,SHOP NOW,NA,NA,NA,0.960308522,"Font ,Text","Gold Ring, Sand",Dark Gray,Ring,1,Gold,N,Men,Product
5993807,David Yurman,IMAGE,94201271,STAT_BAN-SilverMulti_EN_160x600_v1_LP073.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,160x600,SHOP NOW,NA,NA,NA,0.900438825,"Black-and-white ,Monochrome photography ,Monochrome","Bracelet, Ring, Sand",Gray,"Bracelet, Ring",2,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94205324,STAT_BAN-GoldRing_EN_320x50_v1_LP078.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,320x50,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.964943141,"Font ,Text","Gold Ring, Sand",Dark Gray,Ring,1,Gold,N,Men,Product
5993807,David Yurman,IMAGE,94209458,STAT_BAN-MultiMetalRings_EN_728x90_v1_LP078,DAVID YURMAN SHOP N OW,DAVID YURMAN SHOP NOW,728x90,SHOP NOW,NA,NA,NA,0.937717676,Ring,"Ring, Sand",Gray,Ring,1,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94209461,STAT_BAN-MultimetalNecklaces_EN_300x600_v1_LP078.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,300x600,SHOP NOW,NA,NA,NA,0.948065797,"Locket ,Pendant ,Necklace ,Jewellery ,Fashion accessory ,Body jewelry","Necklace, Sand",Gray,Necklace,1,"Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,94209464,STAT_BAN-MultimetalNecklaces_EN_700x440_v1_LP078.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,700x440,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.923377633,"Pendant ,Jewellery ,Locket ,Fashion accessory ,Body jewelry ,Text","Necklace, Sand",Gray,Necklace,2,"Stainless Steel, Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,94210517,STAT_BAN-GoldRing_EN_300x50_v1_LP078.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,300x50,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.967090786,"Font ,Text","Gold Ring, Sand",Dark Gray,Ring,1,Gold,N,Men,Product
5993807,David Yurman,IMAGE,94210520,STAT_BAN-MultimetalNecklaces_EN_300x440_v1_LP078.jpg,DAVID YURMANN SHOP NOW,DAVID YURMAN SHOP NOW,300x440,SHOP NOW,NA,NA,NA,0.930383821,"Locket ,Pendant ,Jewellery ,Fashion accessory ,Body jewelry ,Necklace","Necklace, Sand",Gray,Necklace,2,"Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,95085901,HOL17_MENS_VOGUE_MULTI_RINGS_290x550.jpg,DAVID YURMAN SHOP HOLIDAY,DAVID YURMAN SHOP HOLIDAY,290x550,SHOP HOLIDAY,NA,NA,NA,0.866026521,Fashion accessory,"Ring, Stone",White,Ring,3,"Silver, Black titanium, Stone",N,Men,Product
5993807,David Yurman,IMAGE,95085904,STAT_BAN-MENSBOXCHAIN_EN_728X90_v1_LP088.jpg,DAVID YURMAN SHOP HOLIDAY,DAVID YURMAN SHOP HOLIDAY,728x90,SHOP HOLIDAY,NA,NA,NA,0.915243447,"Text ,Font",Chain,Gray,Chain,4,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,95085907,STAT_BAN-MENSBOXCHAIN_EN_970X90_v1_LP088.jpg,DAVID YURMAN SHOP HOLIDAY,DAVID YURMAN SHOP HOLIDAY,970x90,SHOP HOLIDAY,NA,NA,NA,0.869291961,Text,Chain,Gray,Chain,4,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,95085913,STAT_BAN-MENSCHEVRONWOVENBRACELETS_EN_600X800_v1_LP088.jpg,DAVID YURMAN,DAVID YURMAN,600x800,N/A,NA,NA,NA,0.873205642,"Fashion accessory ,Jewellery ,Text","Bracelet, Branch",Gray,Bracelet,3,"Silver, Leather",N,Men,Product
5993807,David Yurman,IMAGE,95085919,STAT_BAN-MENSCHEVRONWOVENBRACELETS_EN_960X270_v1_LP088.jpg,DAVID YURMAN SHOP HOLIDAY,DAVID YURMAN SHOP HOLIDAY,960x270,SHOP HOLIDAY,NA,NA,NA,0.857438028,Fashion accessory,"Ring, Tree Silhouette",White,Ring,3,"Silver, Gold, Diamond, Gem",N,Men,Product
5993807,David Yurman,IMAGE,95085922,STAT_BAN-MENSCHEVRONWOVENBRACELETS_EN_970X250_v1_LP088.jpg,DAVID YURMAN SHOP HOLIDAY,DAVID YURMAN SHOP HOLIDAY,970x250,SHOP HOLIDAY,NA,NA,NA,0.866026521,Fashion accessory,Bracelet,Gray,Bracelet,5,"Silver, Leather",N,Men,Product
5993807,David Yurman,IMAGE,95085925,STAT_BAN-SHOPHOLIDAYLOGO_EN_300x50_v1_LP087.jpg,DAVID YURMAN SHOP HOLIDAY,DAVID YURMAN SHOP HOLIDAY,300x50,SHOP HOLIDAY,NA,NA,NA,0.981261283,"Text ,Font","Logo, Branch",White,N/A,N/A,N/A,N,ALL,Other
5993807,David Yurman,IMAGE,95085928,STAT_BAN-WOMENSALBIONRINGS_EN_300X250_v1_LP087.jpg,DAVID YURMAN SHOP HOLIDAY,DAVID YURMAN SHOP HOLIDAY,300x250,SHOP HOLIDAY,NA,NA,NA,0.909054384,"Ring ,Jewellery ,Fashion accessory ,Gemstone","Ring, Tree Silhouette",White,Ring,3,"Silver, Gold, Diamond, Gem",N,Women,Product
5993807,David Yurman,IMAGE,95085940,STAT_BAN-WOMENSPETITEPAVECHAIN_EN_970X90_v1_LP087.jpg,DAVID YURMAN SHOP HOLIDAY,DAVID YURMAN SHOP HOLIDAY,970x90,SHOP HOLIDAY,NA,NA,NA,0.917808086,"Body jewelry ,Jewellery","Necklace, Chain",White,Necklace,1,"Gold, Diamond",N,Women,Product
5993807,David Yurman,IMAGE,95117826,STAT_BAN-MENSCHEVRONWOVENBRACELETS_EN_700X440_v1_LP088.jpg,DAVID YURMAN,DAVID YURMAN,700x440,N/A,NA,NA,NA,0.885263046,"Fashion accessory ,Jewellery ,Bangle",Bracelet,Gray,Bracelet,3,"Gold, Turquoise, Diamond, Carbon, Gem",N,Men,Product
